ZipCode,Start_Lng_Representative,Start_Lat_Representative,Date,DelayFromTypicalTrafficMins,Coordinates
94501-5523,-122.237823,37.751362,2019-12-03,0.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-12-04,0.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-12-09,1.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-12-10,2.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2019-12-11,3.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2020-01-07,6.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2020-02-11,6.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2020-02-13,1.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2020-02-25,1.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2020-03-02,2.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2020-03-05,0.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2020-12-23,0.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2021-02-03,2.0,"(37.751362, -122.237823)"
94501-5523,-122.237823,37.751362,2021-03-27,2.0,"(37.751362, -122.237823)"
94502-3044,-122.252991,37.734497,2018-08-28,8.949999809265137,"(37.734497, -122.252991)"
94502-6500,-122.234825,37.725712,2016-08-21,0.0,"(37.725712, -122.234825)"
94502-6500,-122.234825,37.725712,2017-06-21,6.579999923706055,"(37.725712, -122.234825)"
94502-6500,-122.234825,37.725712,2017-07-12,9.100000381469728,"(37.725712, -122.234825)"
94502-6500,-122.234825,37.725712,2017-12-22,6.269999980926514,"(37.725712, -122.234825)"
94502-6500,-122.234825,37.725712,2018-10-19,0.1299999952316284,"(37.725712, -122.234825)"
94502-6501,-122.232994,37.72596400000001,2017-09-20,8.380000114440918,"(37.72596400000001, -122.232994)"
94502-6739,-122.236809,37.744614,2016-10-23,6.380000114440918,"(37.744614, -122.236809)"
94502-6739,-122.236809,37.744614,2018-04-07,10.829999923706056,"(37.744614, -122.236809)"
94536-1555,-122.001343,37.581932,2019-09-24,10.0,"(37.581932, -122.001343)"
94536-1555,-122.001343,37.581932,2020-04-16,7.0,"(37.581932, -122.001343)"
94536-1606,-121.979561,37.578777,2017-01-28,0.0299999993294477,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2017-06-24,17.579999923706055,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2017-09-10,7.380000114440918,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2017-12-19,1.1799999475479126,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2018-10-04,1.6200000047683716,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2019-11-12,1.0,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2020-07-15,3.0,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2020-07-27,1.0,"(37.578777, -121.979561)"
94536-1606,-121.979561,37.578777,2020-08-11,2.0,"(37.578777, -121.979561)"
94536-1609,-121.978523,37.578892,2016-07-24,0.0,"(37.578892, -121.978523)"
94536-1609,-121.978523,37.578892,2017-02-15,0.8799999952316284,"(37.578892, -121.978523)"
94536-1609,-121.978523,37.578892,2018-12-21,8.770000457763674,"(37.578892, -121.978523)"
94536-1609,-121.978523,37.578892,2019-05-25,15.0,"(37.578892, -121.978523)"
94536-1609,-121.978523,37.578892,2019-07-27,3.0,"(37.578892, -121.978523)"
94536-1615,-121.99102,37.580917,2016-09-27,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2016-10-06,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2016-10-18,2.5699999928474426,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2016-11-16,0.0799999982118606,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2016-11-17,0.3700000047683716,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2016-12-12,12.979999542236328,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-03-22,1.5800000429153442,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-05-01,0.7699999809265137,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-05-02,2.5199999809265137,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-06-14,1.4800000190734863,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-08-30,5.9100000858306885,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-09-11,2.0999999046325684,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-09-13,1.5499999523162842,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-09-14,1.5,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-09-20,3.3299999237060547,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-09-21,0.2700000107288361,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-09-26,6.440000057220459,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-09-27,1.0700000524520874,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-10-03,1.2699999809265137,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-10-04,2.2300000190734863,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-02,3.7699999809265137,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-07,3.8199999332427983,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-13,1.3300000429153442,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-14,1.0800000429153442,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-16,7.509999871253968,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-28,1.25,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-29,2.5999999046325684,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-11-30,1.5700000524520874,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2017-12-07,1.0800000429153442,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-01-30,2.5199999809265137,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-02-13,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-04-13,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-04-24,1.3200000524520874,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-09-04,0.4300000071525574,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-09-12,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-09-13,0.3499999940395355,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-09-19,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-09-25,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-10-04,0.1700000017881393,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-10-09,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-10-31,3.6800000667572017,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-11-06,0.4300000071525574,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-11-13,2.380000054836273,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2018-11-15,0.5299999713897705,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-01-29,1.0199999809265137,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-03-22,1.2699999809265137,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-05-22,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-09-04,3.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-09-24,10.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-09-25,2.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-09-26,1.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-10-08,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-10-27,12.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-10-30,2.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-11-12,1.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-11-18,3.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-11-20,1.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2019-12-04,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2020-02-05,0.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2020-04-19,4.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2021-10-25,3.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2022-02-16,3.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2022-03-16,4.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2022-08-31,1.0,"(37.580917, -121.99102)"
94536-1615,-121.99102,37.580917,2022-09-07,2.0,"(37.580917, -121.99102)"
94536-1646,-121.982033,37.579021,2020-07-29,9.0,"(37.579021, -121.982033)"
94536-1714,-121.977295,37.578835,2017-12-15,0.2300000041723252,"(37.578835, -121.977295)"
94536-1714,-121.977295,37.578835,2019-09-25,12.0,"(37.578835, -121.977295)"
94536-1722,-121.968414,37.572453,2017-12-13,0.3199999928474426,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2017-12-19,9.350000381469728,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-01-26,0.0,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-02-14,1.75,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-04-13,1.6799999475479126,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-04-21,0.2700000107288361,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-04-27,2.1700000762939453,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-06-06,1.0199999809265137,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-08-03,0.4300000071525574,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-08-30,1.7499999403953552,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-10-12,1.1699999570846558,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2018-11-15,0.5,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2019-05-09,1.25,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2019-08-09,2.0,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2021-06-04,2.0,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2021-07-23,2.0,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2021-08-05,2.0,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2021-10-11,1.0,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2022-03-02,1.0,"(37.572453, -121.968414)"
94536-1722,-121.968414,37.572453,2022-03-04,7.0,"(37.572453, -121.968414)"
94536-2438,-122.024078,37.575809,2018-12-22,2.9800000190734863,"(37.575809, -122.024078)"
94536-2438,-122.024078,37.575809,2019-02-22,1.7699999809265137,"(37.575809, -122.024078)"
94536-2438,-122.024078,37.575809,2019-05-22,22.0,"(37.575809, -122.024078)"
94536-2438,-122.024078,37.575809,2019-06-15,2.0,"(37.575809, -122.024078)"
94536-2438,-122.024078,37.575809,2020-05-14,3.0,"(37.575809, -122.024078)"
94536-2438,-122.024078,37.575809,2020-07-20,5.0,"(37.575809, -122.024078)"
94536-3604,-122.010963,37.560223,2017-06-05,2.1199998855590816,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2017-11-29,8.670000076293945,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2017-12-08,0.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2017-12-11,1.149999976158142,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2017-12-12,0.3000000119209289,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2017-12-19,0.2300000041723252,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2017-12-21,0.3700000047683716,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2017-12-27,2.2300000190734863,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-01-26,1.100000023841858,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-02-16,0.479999989271164,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-02-17,0.699999988079071,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-02-24,0.7300000190734863,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-02-26,7.300000190734862,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-03-28,0.8500000238418579,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-04-05,0.5,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-04-20,0.7200000286102295,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-08-24,0.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-09-29,0.8199999928474426,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-10-06,2.5199999809265137,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-10-23,5.150000095367432,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-11-08,0.3199999928474426,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2018-11-28,1.7000000476837158,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-04-15,0.1299999952316284,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-05-01,1.2699999809265137,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-05-03,0.3000000119209289,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-05-20,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-05-30,4.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-06-11,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-06-12,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-06-14,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-07-02,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-07-15,4.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-08-07,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-08-08,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-08-10,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-08-19,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-08-27,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-08-28,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-09-06,0.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-09-18,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-10-02,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-10-03,3.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-10-17,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-10-22,3.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-11-23,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2019-12-06,1.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2020-02-27,2.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2020-07-06,4.0,"(37.560223, -122.010963)"
94536-3604,-122.010963,37.560223,2021-10-15,1.0,"(37.560223, -122.010963)"
94536-3605,-122.009476,37.559475,2019-11-22,1.0,"(37.559475, -122.009476)"
94536-3605,-122.009476,37.559475,2019-12-13,1.0,"(37.559475, -122.009476)"
94536-3605,-122.009476,37.559475,2020-01-03,9.0,"(37.559475, -122.009476)"
94536-3708,-122.003487,37.559502,2019-04-16,0.3199999928474426,"(37.559502, -122.003487)"
94536-3708,-122.003487,37.559502,2019-05-04,0.3499999940395355,"(37.559502, -122.003487)"
94536-3708,-122.003487,37.559502,2019-06-12,5.0,"(37.559502, -122.003487)"
94536-3708,-122.003487,37.559502,2019-07-19,1.0,"(37.559502, -122.003487)"
94536-3708,-122.003487,37.559502,2019-07-24,5.0,"(37.559502, -122.003487)"
94536-3708,-122.003487,37.559502,2019-08-30,3.0,"(37.559502, -122.003487)"
94536-3708,-122.003487,37.559502,2019-10-30,1.0,"(37.559502, -122.003487)"
